Cancer_Type	N	Gene1	Gene2	Gene1_Mutated	Gene2_Mutated	Observed_CoMutation	Expected_Independence	Permutation_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
uterine corpus endometrioid carcinoma	42	RORA	CLOCK	9	14	2	3.0	3.0169	1.2690844918856878	0.6629321488945606	-0.8012862866908289	0.46565343465653436	1.0	Depleted
uterine corpus endometrioid carcinoma	42	RORA	NR1D1	9	5	0	1.0714285714285714	1.0759	0.8825061312575514	0.0	-1.2191416715336207	0.3408659134086591	1.0	Depleted
uterine corpus endometrioid carcinoma	42	RORA	NR1D2	9	5	0	1.0714285714285714	1.073	0.8636814195983701	0.0	-1.2423562388304792	0.32886711328867113	1.0	Depleted
uterine corpus endometrioid carcinoma	42	RORB	RORC	10	8	1	1.9047619047619047	1.8948	1.0979314666000493	0.5277601857715853	-0.8149871164280554	0.6584341565843416	1.0	Depleted
uterine corpus endometrioid carcinoma	42	RORB	CLOCK	10	14	5	3.3333333333333335	3.3558	1.3177936173778504	1.4899576852017402	1.2476915795598056	0.26247375262473754	1.0	Enriched
uterine corpus endometrioid carcinoma	42	RORB	NR1D1	10	5	0	1.1904761904761905	1.1959	0.8977771384809473	0.0	-1.3320677802327214	0.30956904309569044	1.0	Depleted
uterine corpus endometrioid carcinoma	42	RORB	NR1D2	10	5	1	1.1904761904761905	1.2038	0.9056199946762857	0.830702774547267	-0.22503920098721802	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	RORC	CLOCK	8	14	3	2.6666666666666665	2.6616	1.2061637215122618	1.127141568981064	0.2805589274196719	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	RORC	NR1D1	8	5	1	0.9523809523809523	0.9438	0.8356502804038983	1.0595465140919686	0.06725301399149491	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	RORC	NR1D2	8	5	0	0.9523809523809523	0.9382	0.8269517186114866	0.0	-1.134528145821267	0.5628437156284372	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CLOCK	NR1D1	14	5	2	1.6666666666666667	1.6498	0.9858281522225725	1.212268153715602	0.35523432680479455	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CLOCK	NR1D2	14	5	3	1.6666666666666667	1.6653	1.0014869982285153	1.8014772113132769	1.3327182503226602	0.3096690330966903	1.0	Enriched
uterine corpus endometrioid carcinoma	42	NR1D1	NR1D2	5	5	2	0.5952380952380952	0.5897	0.6820560314541646	3.391555027980329	2.067718684333304	0.0963903609639036	1.0	Enriched
